Reference area,Indicator,Subject,MEASURE,TIME_PERIOD,OBS_VALUE
Singapore,Purchasing power parities (PPP),Total,National currency units/US dollar,1994,0.995931
Singapore,Exchange rates,Total,National currency units/US dollar,1994,1.527444
Argentina,Gross domestic product (GDP),Total,Million US dollars,2005,527985.869
Argentina,Gross domestic product (GDP),Total,US dollars/capita,2007,16728.64281
Slovak Republic,Exchange rates,Total,National currency units/US dollar,1994,1.063694
Slovak Republic,Purchasing power parities (PPP),Total,National currency units/US dollar,1994,0.394072
Argentina,Gross domestic product (GDP),Total,Million US dollars,2021,1090315.832
Argentina,Gender wage gap,Employees,Percentage,2021,6.25
Argentina,Gross domestic product (GDP),Total,Million US dollars,2010,736799.121
Argentina,Gross domestic product (GDP),Total,US dollars/capita,2010,18063.91434
Slovenia,Purchasing power parities (PPP),Total,National currency units/US dollar,1994,0.31728
Slovenia,Exchange rates,Total,National currency units/US dollar,1994,0.537509
Argentina,Gross domestic product (GDP),Total,US dollars/capita,2009,16472.55477
Spain,Exchange rates,Total,National currency units/US dollar,1994,0.805104
Spain,Purchasing power parities (PPP),Total,National currency units/US dollar,1994,0.693093
Argentina,Air pollution exposure,Exposure to PM2.5,% of population,2012,94.65
Argentina,Gross domestic product (GDP),Total,Million US dollars,2012,819697.902
Sweden,Exchange rates,Total,National currency units/US dollar,1994,7.71597
Sweden,Purchasing power parities (PPP),Total,National currency units/US dollar,1994,9.20066
Argentina,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2016,14.452
Argentina,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2014,14.115
Argentina,Gross domestic product (GDP),Total,US dollars/capita,2015,20105.19899
Argentina,Air pollution exposure,Exposure to PM2.5,% of population,2015,99.378
Argentina,Air pollution exposure,Exposure to PM2.5,% of population,2013,99.379
Argentina,Gross domestic product (GDP),Total,Million US dollars,2013,849616
Argentina,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2013,15.069
Argentina,Gross domestic product (GDP),Total,Million US dollars,2018,1036459.32
Argentina,Gross domestic product (GDP),Total,US dollars/capita,2018,23294.09868
Argentina,Gender wage gap,Employees,Percentage,2018,11.11111111
Switzerland,Purchasing power parities (PPP),Total,National currency units/US dollar,1994,1.948616
Switzerland,Exchange rates,Total,National currency units/US dollar,1994,1.367693
Argentina,Gross domestic product (GDP),Total,Million US dollars,2020,943243.919
Argentina,Gross domestic product (GDP),Total,US dollars/capita,2017,23597.11776
Argentina,Gender wage gap,Employees,Percentage,2019,12
Türkiye,Purchasing power parities (PPP),Total,National currency units/US dollar,1994,0.009659
Türkiye,Exchange rates,Total,National currency units/US dollar,1994,0.029609
United Kingdom,Purchasing power parities (PPP),Total,National currency units/US dollar,1994,0.653286
United Kingdom,Exchange rates,Total,National currency units/US dollar,1994,0.653427
United States,Exchange rates,Total,National currency units/US dollar,1994,1
United States,Purchasing power parities (PPP),Total,National currency units/US dollar,1994,1
Albania,Exchange rates,Total,National currency units/US dollar,1995,92.6975
Argentina,Purchasing power parities (PPP),Total,National currency units/US dollar,1995,0.74394
Argentina,Gross domestic product (GDP),Total,US dollars/capita,2022,26599.13185
Argentina,Exchange rates,Total,National currency units/US dollar,1995,0.99975
Australia,Purchasing power parities (PPP),Total,National currency units/US dollar,1995,1.308996
Argentina,Air pollution exposure,Exposure to PM2.5,% of population,2000,99.304
Australia,Exchange rates,Total,National currency units/US dollar,1995,1.349033
Austria,Purchasing power parities (PPP),Total,National currency units/US dollar,1995,0.938286
Argentina,Gross domestic product (GDP),Total,US dollars/capita,2006,15090.09598
Austria,Exchange rates,Total,National currency units/US dollar,1995,0.732651
Belgium,Exchange rates,Total,National currency units/US dollar,1995,0.730791
Argentina,Air pollution exposure,Exposure to PM2.5,% of population,2005,91.949
Argentina,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2005,13.612
Argentina,Gross domestic product (GDP),Total,US dollars/capita,2005,13681.22587
Argentina,Gross domestic product (GDP),Total,Million US dollars,2008,698223.628
Argentina,Gross domestic product (GDP),Total,US dollars/capita,2008,17567.14205
Argentina,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2010,14.054
Argentina,Air pollution exposure,Exposure to PM2.5,% of population,2010,97.365
Argentina,Gross domestic product (GDP),Total,US dollars/capita,2021,23801.44932
Argentina,Gross domestic product (GDP),Total,Million US dollars,2009,661109.513
Belgium,Purchasing power parities (PPP),Total,National currency units/US dollar,1995,0.925701
Brazil,Exchange rates,Total,National currency units/US dollar,1995,0.917667
Argentina,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2012,13.685
Brazil,Purchasing power parities (PPP),Total,National currency units/US dollar,1995,0.539155
Bulgaria,Exchange rates,Total,National currency units/US dollar,1995,0.067171
Argentina,Air pollution exposure,Exposure to PM2.5,% of population,2011,98.661
Argentina,Gross domestic product (GDP),Total,Million US dollars,2011,797263.882
Argentina,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2011,14.527
Argentina,Air pollution exposure,Exposure to PM2.5,% of population,2019,98.525
Argentina,Gross domestic product (GDP),Total,Million US dollars,2019,1033942.542
Argentina,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2019,13.847
Argentina,Air pollution exposure,Exposure to PM2.5,% of population,2017,98.552
Argentina,Gross domestic product (GDP),Total,Million US dollars,2017,1039330.592
Argentina,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2017,13.952
Argentina,Gender wage gap,Employees,Percentage,2017,7.857142857
Bulgaria,Purchasing power parities (PPP),Total,National currency units/US dollar,1995,0.019598
Canada,Exchange rates,Total,National currency units/US dollar,1995,1.372445
Argentina,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2018,13.973
Argentina,Air pollution exposure,Exposure to PM2.5,% of population,2018,98.563
Argentina,Gross domestic product (GDP),Total,US dollars/capita,2013,20131.68042
Argentina,Air pollution exposure,Exposure to PM2.5,% of population,2016,99.09
Argentina,Gross domestic product (GDP),Total,Million US dollars,2016,885227.529
Argentina,Gross domestic product (GDP),Total,US dollars/capita,2016,20307.87005
Argentina,Gross domestic product (GDP),Total,US dollars/capita,2014,19683.7715
Canada,Purchasing power parities (PPP),Total,National currency units/US dollar,1995,1.208429
Chile,Exchange rates,Total,National currency units/US dollar,1995,396.773333
Armenia,Air pollution exposure,Exposure to PM2.5,% of population,2000,100
Armenia,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2010,36.201
Armenia,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2018,34.639
Armenia,Air pollution exposure,Exposure to PM2.5,% of population,2016,100
Armenia,Air pollution exposure,Exposure to PM2.5,% of population,1995,100
Armenia,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,1995,32.711
Armenia,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2000,31.619
Armenia,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2005,32.419
Armenia,Air pollution exposure,Exposure to PM2.5,% of population,2005,100
Armenia,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2011,40.795
Armenia,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2016,34.872
Armenia,Air pollution exposure,Exposure to PM2.5,% of population,2014,100
Armenia,Air pollution exposure,Exposure to PM2.5,% of population,2015,100
Armenia,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2017,35.557
Armenia,Air pollution exposure,Exposure to PM2.5,% of population,2017,100
Armenia,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2019,34.241
Armenia,Air pollution exposure,Exposure to PM2.5,% of population,2010,100
Armenia,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2012,41.393
Armenia,Air pollution exposure,Exposure to PM2.5,% of population,2012,100
Armenia,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2015,38.118
Armenia,Air pollution exposure,Exposure to PM2.5,% of population,2011,100
Armenia,Air pollution exposure,Exposure to PM2.5,% of population,2019,100
Armenia,Air pollution exposure,Exposure to PM2.5,% of population,2018,100
Armenia,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2013,39.195
Armenia,Air pollution exposure,Exposure to PM2.5,% of population,2013,100
Armenia,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2014,38.755
Australia,GDP per hour worked,Total,2015=100,1994,69.609837
Australia,Gross domestic product (GDP),Total,Million US dollars,2022,1868119.485
Australia,Employment rate,Total,Thousand persons,2022,13625.38
Chile,Purchasing power parities (PPP),Total,National currency units/US dollar,1995,278.801558
Australia,Average wages,Total,US dollars,1995,43715
China (People's Republic of),Exchange rates,Total,National currency units/US dollar,1995,8.351417
Australia,Gross domestic product (GDP),Total,US dollars/capita,1995,22444.05647
Australia,GDP per hour worked,Total,US dollars,1994,37.690439
Australia,Gross domestic product (GDP),Total,Million US dollars,1998,478691.653
Australia,Employment rate,Total,Thousand persons,1998,8517.424
Australia,Average wages,Total,US dollars,1996,44976.27559
China (People's Republic of),Purchasing power parities (PPP),Total,National currency units/US dollar,1995,2.736357
Australia,Gross domestic product (GDP),Total,US dollars/capita,1996,23290.94992
Australia,Employment rate,Total,% of working age population,1996,67.66373
Australia,Employment rate,Women,Thousand persons,1996,3583.072
Australia,Gender wage gap,Employees,Percentage,1999,14.28571429
Australia,GDP per hour worked,Total,US dollars,1995,38.823836
Australia,Gross domestic product (GDP),Total,Million US dollars,1997,450962.701
Australia,Employment rate,Women,% of working age population,2000,61.2659
Australia,Employment rate,Men,% of working age population,2000,76.92454
Australia,Air pollution exposure,Exposure to PM2.5,% of population,2000,0.005
Colombia,Exchange rates,Total,National currency units/US dollar,1995,912.895
Australia,Average wages,Total,US dollars,2003,49849.37515
Colombia,Purchasing power parities (PPP),Total,National currency units/US dollar,1995,368.204539
Australia,Gross domestic product (GDP),Total,US dollars/capita,2003,32409.0606
Australia,Average wages,Total,US dollars,2004,51414.31839
Costa Rica,Purchasing power parities (PPP),Total,National currency units/US dollar,1995,87.77853
Australia,Gross domestic product (GDP),Total,US dollars/capita,2004,34019.15042
Australia,Employment rate,Total,% of working age population,2004,70.29926
Australia,Employment rate,Women,Thousand persons,2004,4261.68
Australia,GDP per hour worked,Total,2015=100,1995,71.70309
Australia,GDP per hour worked,Total,US dollars,1996,40.169459
Australia,Gross domestic product (GDP),Total,Million US dollars,2006,776413.103
Australia,Employment rate,Total,Thousand persons,2006,10124.23
Australia,Employment rate,Men,Thousand persons,2001,5008.421
Australia,GDP per hour worked,Total,2015=100,1996,74.188297
Australia,Gross domestic product (GDP),Total,Million US dollars,2005,719977.551
Australia,Gross domestic product (GDP),Total,Million US dollars,2021,1649096.43
Australia,Gender wage gap,Employees,Percentage,2007,15.4
Australia,Employment rate,Men,Thousand persons,2009,5879.186
Australia,GDP per hour worked,Total,US dollars,1997,41.549735
