Reference area,Indicator,Subject,MEASURE,TIME_PERIOD,OBS_VALUE
Czechia,Exchange rates,Total,National currency units/US dollar,2012,19.5775
Mexico,Gross domestic product (GDP),Total,Million US dollars,2000,1154351.117
Mexico,Employment rate,Men,Thousand persons,2000,24707.18
Mexico,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2000,30.248
Mexico,Employment rate,Men,% of working age population,2007,80.83261
Mexico,Trust in government,Total,Percentage,2007,41.81466001
Mexico,Gross domestic product (GDP),Total,US dollars/capita,2007,14892.04111
Mexico,Employment rate,Women,% of working age population,2007,43.56637
Mexico,Employment rate,Total,Thousand persons,2007,44231.25
Czechia,Purchasing power parities (PPP),Total,National currency units/US dollar,2012,13.297699
Denmark,Exchange rates,Total,National currency units/US dollar,2012,5.792476
Mexico,Gross domestic product (GDP),Total,Million US dollars,2006,1559647.572
Mexico,Employment rate,Total,% of working age population,2006,60.96249
Mexico,Employment rate,Men,Thousand persons,2006,27238.12
Mexico,Employment rate,Men,% of working age population,2006,81.26635
Mexico,Gender wage gap,Employees,Percentage,2006,18.60465116
Mexico,Trust in government,Total,Percentage,2006,42.63591977
Mexico,Gross domestic product (GDP),Total,US dollars/capita,2005,13093.88834
Mexico,Employment rate,Women,% of working age population,2005,41.84049
Mexico,Employment rate,Total,Thousand persons,2005,42079.14
Denmark,Purchasing power parities (PPP),Total,National currency units/US dollar,2012,7.564136
Mexico,Air pollution exposure,Exposure to PM2.5,% of population,2005,99.594
Mexico,Gross domestic product (GDP),Total,Million US dollars,2005,1403085.871
Mexico,Employment rate,Total,% of working age population,2005,60.05342
Mexico,Employment rate,Men,Thousand persons,2005,26687.19
Mexico,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2005,23.122
Estonia,Purchasing power parities (PPP),Total,National currency units/US dollar,2012,0.521063
Estonia,Exchange rates,Total,National currency units/US dollar,2012,0.778338
Mexico,Gross domestic product (GDP),Total,Million US dollars,2008,1730732.457
Mexico,Employment rate,Total,% of working age population,2008,60.66586
Mexico,Employment rate,Men,Thousand persons,2008,28140.69
Mexico,GDP per hour worked,Total,2015=100,2004,103.322933
Mexico,Average wages,Total,US dollars,2004,18650.07916
Mexico,GDP per hour worked,Total,2015=100,2010,94.640721
Mexico,Air pollution exposure,Exposure to PM2.5,% of population,2010,99.571
Mexico,Average wages,Total,US dollars,2010,17618
Mexico,Employment rate,Women,Thousand persons,2010,17314.13
Mexico,GDP per hour worked,Total,US dollars,2010,19.744299
Mexico,Trust in government,Total,Percentage,2021,48.3326115
Mexico,Employment rate,Total,Thousand persons,2021,55165.86
Finland,Exchange rates,Total,National currency units/US dollar,2012,0.778338
Mexico,Gender wage gap,Employees,Percentage,2021,12.5
Mexico,Employment rate,Women,% of working age population,2021,46.17591
Mexico,Employment rate,Men,Thousand persons,2021,33634.66
Mexico,GDP per hour worked,Total,US dollars,2021,19.362551
Finland,Purchasing power parities (PPP),Total,National currency units/US dollar,2012,0.908495
Mexico,GDP per hour worked,Total,2015=100,2009,91.50091
Mexico,Average wages,Total,US dollars,2009,18806
Mexico,Employment rate,Women,Thousand persons,2009,17108.58
Mexico,Employment rate,Men,% of working age population,2009,78.074
Mexico,Gender wage gap,Employees,Percentage,2012,13.55555556
Mexico,Trust in government,Total,Percentage,2012,36.14087848
Mexico,Gross domestic product (GDP),Total,US dollars/capita,2012,18287.36265
Mexico,Employment rate,Total,Thousand persons,2012,48706.73
Mexico,Employment rate,Women,% of working age population,2012,44.86357
Mexico,GDP per hour worked,Total,2015=100,2012,98.45457
Mexico,Air pollution exposure,Exposure to PM2.5,% of population,2012,99.545
Mexico,Average wages,Total,US dollars,2012,17457
Mexico,Gross domestic product (GDP),Total,Million US dollars,2012,2103287.677
Mexico,Employment rate,Women,Thousand persons,2012,18583.5
Mexico,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2015,22.042
Mexico,Employment rate,Men,% of working age population,2015,78.34047
Mexico,Trust in government,Total,Percentage,2015,25.6193175
Mexico,Gross domestic product (GDP),Total,US dollars/capita,2015,19395.33318
Mexico,Employment rate,Women,% of working age population,2015,44.67471
Mexico,Employment rate,Total,Thousand persons,2015,50611.33
France,Exchange rates,Total,National currency units/US dollar,2012,0.778338
Mexico,GDP per hour worked,Total,US dollars,2011,20.05155
Mexico,Gender wage gap,Employees,Percentage,2011,10
France,Purchasing power parities (PPP),Total,National currency units/US dollar,2012,0.844301
Mexico,GDP per hour worked,Total,2015=100,2011,96.113472
Mexico,Air pollution exposure,Exposure to PM2.5,% of population,2011,99.654
Mexico,GDP per hour worked,Total,US dollars,2019,20.130092
Mexico,Gross domestic product (GDP),Total,US dollars/capita,2019,21116.85357
Georgia,Exchange rates,Total,National currency units/US dollar,2012,1.651258
Mexico,GDP per hour worked,Total,2015=100,2019,96.489951
Mexico,Air pollution exposure,Exposure to PM2.5,% of population,2019,99.483
Georgia,Purchasing power parities (PPP),Total,National currency units/US dollar,2012,0.743101
Mexico,GDP per hour worked,Total,2015=100,2017,99.811341
Mexico,Air pollution exposure,Exposure to PM2.5,% of population,2017,99.483
Mexico,Average wages,Total,US dollars,2017,17475
Mexico,Gross domestic product (GDP),Total,Million US dollars,2017,2528308.492
Mexico,Employment rate,Women,Thousand persons,2017,19683.39
Mexico,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2017,20.365
Mexico,Employment rate,Men,% of working age population,2017,78.98473
Mexico,GDP per hour worked,Total,2015=100,2018,98.932128
Mexico,Air pollution exposure,Exposure to PM2.5,% of population,2018,99.483
Mexico,Average wages,Total,US dollars,2018,17865
Mexico,Gross domestic product (GDP),Total,Million US dollars,2018,2606266.038
Mexico,Employment rate,Women,Thousand persons,2018,20370.38
Mexico,GDP per hour worked,Total,US dollars,2018,20.639588
Mexico,Gross domestic product (GDP),Total,US dollars/capita,2018,21131.36548
Mexico,Trust in government,Total,Percentage,2013,39.55713579
Mexico,Gross domestic product (GDP),Total,US dollars/capita,2013,18481.03064
Mexico,Employment rate,Women,% of working age population,2013,44.9596
Mexico,Employment rate,Total,Thousand persons,2013,49227.31
Germany,Exchange rates,Total,National currency units/US dollar,2012,0.778338
Mexico,Employment rate,Total,% of working age population,2013,60.8422
Mexico,Employment rate,Men,Thousand persons,2013,30398.12
Mexico,GDP per hour worked,Total,US dollars,2013,20.42621
Mexico,Trust in government,Total,Percentage,2020,45.9497859
Mexico,GDP per hour worked,Total,2015=100,2020,95.378164
Mexico,Average wages,Total,US dollars,2020,17467
Mexico,Gross domestic product (GDP),Total,Million US dollars,2020,2454130.182
Germany,Purchasing power parities (PPP),Total,National currency units/US dollar,2012,0.787246
Greece,Exchange rates,Total,National currency units/US dollar,2012,0.778338
Mexico,Employment rate,Total,% of working age population,2016,61.04717
Mexico,Employment rate,Men,Thousand persons,2016,31899.19
Mexico,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2016,21.213
Greece,Purchasing power parities (PPP),Total,National currency units/US dollar,2012,0.684663
Mexico,Employment rate,Total,% of working age population,2014,60.40805
Mexico,Employment rate,Men,Thousand persons,2014,30736.59
Mexico,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2014,21.961
Mexico,Employment rate,Men,% of working age population,2014,78.10523
Mexico,Gender wage gap,Employees,Percentage,2014,18.3
Mexico,Trust in government,Total,Percentage,2014,32.75820426
Mexico,Gross domestic product (GDP),Total,US dollars/capita,1997,9848.996893
Mexico,Gross domestic product (GDP),Total,US dollars/capita,1999,10743.95611
Mexico,Gross domestic product (GDP),Total,US dollars/capita,1996,9156.948879
Mexico,Employment rate,Total,Thousand persons,2020,50927.07
Mexico,Employment rate,Women,Thousand persons,2020,19820.04
Mexico,Gross domestic product (GDP),Total,US dollars/capita,2004,12471.70107
Mexico,GDP per hour worked,Total,US dollars,2005,20.034146
Mexico,Employment rate,Women,Thousand persons,1994,10120
Mexico,Employment rate,Total,Thousand persons,2004,40216.1
Mexico,Employment rate,Women,Thousand persons,2004,14329.52
Mexico,Gross domestic product (GDP),Total,US dollars/capita,2021,20983.05954
Moldova,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2000,19.389
Moldova,Air pollution exposure,Exposure to PM2.5,% of population,2010,100
Moldova,Air pollution exposure,Exposure to PM2.5,% of population,2018,99.771
Moldova,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2016,14.95
Moldova,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,1995,21.333
Moldova,Air pollution exposure,Exposure to PM2.5,% of population,2000,100
Moldova,Air pollution exposure,Exposure to PM2.5,% of population,2005,100
Moldova,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2005,18.773
Moldova,Air pollution exposure,Exposure to PM2.5,% of population,2011,100
Moldova,Air pollution exposure,Exposure to PM2.5,% of population,2016,99.925
Moldova,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2014,16.659
Moldova,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2015,16.336
Moldova,Air pollution exposure,Exposure to PM2.5,% of population,2017,99.53
Moldova,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2017,13.591
Moldova,Air pollution exposure,Exposure to PM2.5,% of population,2019,98.996
Moldova,Air pollution exposure,Exposure to PM2.5,% of population,1995,100
Moldova,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2010,18.493
Moldova,Air pollution exposure,Exposure to PM2.5,% of population,2012,100
Moldova,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2012,18.228
Moldova,Air pollution exposure,Exposure to PM2.5,% of population,2015,100
Moldova,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2011,18.393
Moldova,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2019,13.96
Moldova,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2018,14.118
Moldova,Air pollution exposure,Exposure to PM2.5,% of population,2013,100
Moldova,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2013,17.797
Moldova,Air pollution exposure,Exposure to PM2.5,% of population,2014,100
Mongolia,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2010,37.203
Mongolia,Air pollution exposure,Exposure to PM2.5,% of population,2012,98.667
Mongolia,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2018,42.124
Mongolia,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2000,30.412
Mongolia,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2005,26.338
Mongolia,Air pollution exposure,Exposure to PM2.5,% of population,2010,93.279
Mongolia,Air pollution exposure,Exposure to PM2.5,% of population,2011,98.88
Mongolia,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2011,46.565
Mongolia,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2016,45.252
Mongolia,Air pollution exposure,Exposure to PM2.5,% of population,2013,98.262
Mongolia,Air pollution exposure,Exposure to PM2.5,% of population,2018,96.057
Mongolia,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2017,40.471
Mongolia,Air pollution exposure,Exposure to PM2.5,% of population,2019,95.76
Mongolia,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2019,42.288
Mongolia,Air pollution exposure,Exposure to PM2.5,% of population,1995,90.584
Mongolia,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,1995,24.954
Mongolia,Air pollution exposure,Exposure to PM2.5,% of population,2000,95.514
Mongolia,Air pollution exposure,Exposure to PM2.5,% of population,2005,88.376
Mongolia,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2012,49.093
Mongolia,Air pollution exposure,Exposure to PM2.5,% of population,2015,97.704
Mongolia,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2015,43.306
Mongolia,Air pollution exposure,Exposure to PM2.5,% of population,2017,95.768
Mongolia,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2013,45.268
Mongolia,Air pollution exposure,Exposure to PM2.5,% of population,2016,97.089
Mongolia,Air pollution exposure,Exposure to PM2.5,% of population,2014,97.784
Mongolia,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2014,40.99
Montenegro,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2012,27.246
Montenegro,Air pollution exposure,Exposure to PM2.5,% of population,2013,99.996
Montenegro,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2010,26.128
Montenegro,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2011,29.088
Montenegro,Air pollution exposure,Exposure to PM2.5,% of population,2011,99.996
Montenegro,Air pollution exposure,Exposure to PM2.5,% of population,2012,99.996
Montenegro,Air pollution exposure,Exposure to PM2.5,% of population,2014,99.996
Montenegro,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2013,25.108
Montenegro,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2018,22.762
Montenegro,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2019,22.322
Montenegro,Air pollution exposure,Exposure to PM2.5,% of population,2019,99.996
Montenegro,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,1995,32.146
Montenegro,Air pollution exposure,Exposure to PM2.5,% of population,1995,99.999
Montenegro,Air pollution exposure,Exposure to PM2.5,% of population,2000,99.997
Montenegro,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2000,30.232
Montenegro,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2005,27.588
Montenegro,Air pollution exposure,Exposure to PM2.5,% of population,2005,99.997
Montenegro,Air pollution exposure,Exposure to PM2.5,% of population,2010,99.996
Montenegro,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2015,24.499
Montenegro,Air pollution exposure,Exposure to PM2.5,% of population,2015,99.996
Montenegro,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2017,22.984
Montenegro,Air pollution exposure,Exposure to PM2.5,% of population,2017,99.996
Montenegro,Air pollution exposure,Exposure to PM2.5,% of population,2018,99.996
Montenegro,Air pollution exposure,Exposure to PM2.5,% of population,2016,99.996
Montenegro,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2016,22.283
Montenegro,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2014,24.887
Hungary,Exchange rates,Total,National currency units/US dollar,2012,225.104167
Hungary,Purchasing power parities (PPP),Total,National currency units/US dollar,2012,125.623608
Iceland,Purchasing power parities (PPP),Total,National currency units/US dollar,2012,136.96767
Iceland,Exchange rates,Total,National currency units/US dollar,2012,125.082787
India,Exchange rates,Total,National currency units/US dollar,2012,53.437233
India,Purchasing power parities (PPP),Total,National currency units/US dollar,2012,16.160835
Morocco,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2012,30.446
Ireland,Purchasing power parities (PPP),Total,National currency units/US dollar,2012,0.823072
Morocco,Air pollution exposure,Exposure to PM2.5,% of population,2014,99.991
Ireland,Exchange rates,Total,National currency units/US dollar,2012,0.778338
Morocco,Gross domestic product (GDP),Total,Million US dollars,2016,273970.678
Morocco,Gross domestic product (GDP),Total,US dollars/capita,2015,7905.564398
Morocco,Gross domestic product (GDP),Total,US dollars/capita,2009,6778.461893
Morocco,Gross domestic product (GDP),Total,Million US dollars,2008,202396.232
Israel,Purchasing power parities (PPP),Total,National currency units/US dollar,2012,3.955358
Morocco,Air pollution exposure,Exposure to PM2.5,% of population,1995,99.994
Israel,Exchange rates,Total,National currency units/US dollar,2012,3.855922
Italy,Exchange rates,Total,National currency units/US dollar,2012,0.778338
Italy,Purchasing power parities (PPP),Total,National currency units/US dollar,2012,0.747731
Japan,Exchange rates,Total,National currency units/US dollar,2012,79.790455
Japan,Purchasing power parities (PPP),Total,National currency units/US dollar,2012,104.273972
Korea,Exchange rates,Total,National currency units/US dollar,2012,1126.806667
Korea,Purchasing power parities (PPP),Total,National currency units/US dollar,2012,854.887268
Latvia,Purchasing power parities (PPP),Total,National currency units/US dollar,2012,0.506202
Latvia,Exchange rates,Total,National currency units/US dollar,2012,0.778133
Lithuania,Exchange rates,Total,National currency units/US dollar,2012,0.778004
Lithuania,Purchasing power parities (PPP),Total,National currency units/US dollar,2012,0.452656
Luxembourg,Exchange rates,Total,National currency units/US dollar,2012,0.778338
Luxembourg,Purchasing power parities (PPP),Total,National currency units/US dollar,2012,0.90679
Malta,Purchasing power parities (PPP),Total,National currency units/US dollar,2012,0.579728
Malta,Exchange rates,Total,National currency units/US dollar,2012,0.778338
Mexico,Exchange rates,Total,National currency units/US dollar,2012,13.169458
Morocco,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2010,32.95
Morocco,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2011,31.601
Mexico,Purchasing power parities (PPP),Total,National currency units/US dollar,2012,7.858708
Morocco,Purchasing power parities (PPP),Total,National currency units/US dollar,2012,3.749629
Morocco,Air pollution exposure,Exposure to PM2.5,% of population,2012,99.998
Morocco,Exchange rates,Total,National currency units/US dollar,2012,8.628445
Morocco,Gross domestic product (GDP),Total,Million US dollars,2014,248261.803
Netherlands,Purchasing power parities (PPP),Total,National currency units/US dollar,2012,0.824408
Morocco,Gross domestic product (GDP),Total,Million US dollars,2015,269769.48
Morocco,Air pollution exposure,Exposure to PM2.5,% of population,2015,99.998
Morocco,Air pollution exposure,Exposure to PM2.5,% of population,2013,99.998
Netherlands,Exchange rates,Total,National currency units/US dollar,2012,0.778338
Morocco,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2013,29.417
Morocco,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2018,33.895
New Zealand,Purchasing power parities (PPP),Total,National currency units/US dollar,2012,1.495622
New Zealand,Exchange rates,Total,National currency units/US dollar,2012,1.234284
North Macedonia,Purchasing power parities (PPP),Total,National currency units/US dollar,2012,19.003511
Morocco,Gross domestic product (GDP),Total,Million US dollars,2017,285550.399
North Macedonia,Exchange rates,Total,National currency units/US dollar,2012,47.89025
Norway,Exchange rates,Total,National currency units/US dollar,2012,5.8175
Morocco,Gross domestic product (GDP),Total,Million US dollars,2009,213616.448
Morocco,Gross domestic product (GDP),Total,US dollars/capita,2016,7944.172521
Morocco,Gross domestic product (GDP),Total,US dollars/capita,2014,7351.113438
Morocco,Gross domestic product (GDP),Total,US dollars/capita,2013,7773.208344
Morocco,Gross domestic product (GDP),Total,Million US dollars,2007,188020.228
Morocco,Gross domestic product (GDP),Total,US dollars/capita,2007,6096.437478
Morocco,Gross domestic product (GDP),Total,US dollars/capita,2021,9204.258217
Morocco,Gross domestic product (GDP),Total,US dollars/capita,2008,6491.63615
Morocco,Gross domestic product (GDP),Total,US dollars/capita,2010,7069.300933
Norway,Purchasing power parities (PPP),Total,National currency units/US dollar,2012,9.037085
Morocco,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,1995,28.953
Poland,Purchasing power parities (PPP),Total,National currency units/US dollar,2012,1.796168
Poland,Exchange rates,Total,National currency units/US dollar,2012,3.256542
Portugal,Purchasing power parities (PPP),Total,National currency units/US dollar,2012,0.605398
Portugal,Exchange rates,Total,National currency units/US dollar,2012,0.778338
Romania,Exchange rates,Total,National currency units/US dollar,2012,3.4682
Romania,Purchasing power parities (PPP),Total,National currency units/US dollar,2012,1.563593
Russia,Exchange rates,Total,National currency units/US dollar,2012,30.839831
Morocco,Air pollution exposure,Exposure to PM2.5,% of population,2000,99.998
Russia,Purchasing power parities (PPP),Total,National currency units/US dollar,2012,19.56826
Morocco,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2000,32.234
Saudi Arabia,Exchange rates,Total,National currency units/US dollar,2012,3.75
Morocco,Air pollution exposure,Exposure to PM2.5,% of population,2005,99.998
Morocco,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2005,32.618
Saudi Arabia,Purchasing power parities (PPP),Total,National currency units/US dollar,2012,1.650197
Serbia,Purchasing power parities (PPP),Total,National currency units/US dollar,2012,37.982435
Serbia,Exchange rates,Total,National currency units/US dollar,2012,87.958808
Morocco,Air pollution exposure,Exposure to PM2.5,% of population,2010,99.998
Morocco,Gross domestic product (GDP),Total,Million US dollars,2021,337510.945
Singapore,Purchasing power parities (PPP),Total,National currency units/US dollar,2012,0.845872
Singapore,Exchange rates,Total,National currency units/US dollar,2012,1.249676
Morocco,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2015,32.16
Slovak Republic,Exchange rates,Total,National currency units/US dollar,2012,0.778338
Slovak Republic,Purchasing power parities (PPP),Total,National currency units/US dollar,2012,0.504542
Morocco,Air pollution exposure,Exposure to PM2.5,% of population,2011,99.998
Slovenia,Exchange rates,Total,National currency units/US dollar,2012,0.778338
Morocco,Gross domestic product (GDP),Total,Million US dollars,2019,315655.249
Morocco,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2019,34.992
Morocco,Air pollution exposure,Exposure to PM2.5,% of population,2019,99.998
Morocco,Air pollution exposure,Exposure to PM2.5,% of population,2017,99.998
Morocco,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2017,34.132
Slovenia,Purchasing power parities (PPP),Total,National currency units/US dollar,2012,0.606793
Morocco,Gross domestic product (GDP),Total,Million US dollars,2018,301379.599
Spain,Exchange rates,Total,National currency units/US dollar,2012,0.778338
Spain,Purchasing power parities (PPP),Total,National currency units/US dollar,2012,0.694976
Morocco,Air pollution exposure,Exposure to PM2.5,% of population,2018,99.998
Morocco,Gross domestic product (GDP),Total,Million US dollars,2020,296805.274
Sweden,Exchange rates,Total,National currency units/US dollar,2012,6.775016
Sweden,Purchasing power parities (PPP),Total,National currency units/US dollar,2012,8.654768
Morocco,Air pollution exposure,Exposure to PM2.5,% of population,2016,99.991
Morocco,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2016,30.873
Morocco,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2014,29.394
Morocco,Gross domestic product (GDP),Total,Million US dollars,2010,225164.304
Morocco,Gross domestic product (GDP),Total,US dollars/capita,2012,7507.265418
Morocco,Gross domestic product (GDP),Total,Million US dollars,2012,244714.331
Morocco,Gross domestic product (GDP),Total,US dollars/capita,2019,8869.959518
Morocco,Gross domestic product (GDP),Total,US dollars/capita,2017,8193.46357
Morocco,Gross domestic product (GDP),Total,US dollars/capita,2018,8557.301428
Morocco,Gross domestic product (GDP),Total,Million US dollars,2011,241675.201
Morocco,Gross domestic product (GDP),Total,US dollars/capita,2011,7508.705687
Morocco,Gross domestic product (GDP),Total,Million US dollars,2013,256127.215
Morocco,Gross domestic product (GDP),Total,US dollars/capita,2020,8174.201991
Switzerland,Exchange rates,Total,National currency units/US dollar,2012,0.937684
Netherlands,Employment rate,Men,Thousand persons,1994,3976.8
Netherlands,Average wages,Total,US dollars,2022,63224.9896
Netherlands,Trust in government,Total,Percentage,2022,47.23477016
Netherlands,Employment rate,Total,Thousand persons,2022,9586.95
Netherlands,Gross domestic product (GDP),Total,Million US dollars,1995,362208.681
Netherlands,GDP per hour worked,Total,US dollars,1995,53.830722
Netherlands,Employment rate,Women,Thousand persons,1998,3082.1
Netherlands,Employment rate,Total,Thousand persons,1998,7402
Netherlands,GDP per hour worked,Total,US dollars,1996,54.029715
Switzerland,Purchasing power parities (PPP),Total,National currency units/US dollar,2012,1.354072
Netherlands,GDP per hour worked,Total,2015=100,1996,79.651125
Netherlands,Average wages,Total,US dollars,1999,58627.73422
Netherlands,Average wages,Total,US dollars,2000,60062.64011
Netherlands,Gross domestic product (GDP),Total,US dollars/capita,2000,31873.88853
Netherlands,Gross domestic product (GDP),Total,Million US dollars,2003,554118.601
Netherlands,Employment rate,Men,% of working age population,2003,81.075
Netherlands,GDP per hour worked,Total,US dollars,2003,61.541637
Netherlands,Employment rate,Women,% of working age population,2003,66.05
Netherlands,Employment rate,Total,% of working age population,2003,73.65
Netherlands,GDP per hour worked,Total,US dollars,2004,62.603024
Türkiye,Purchasing power parities (PPP),Total,National currency units/US dollar,2012,1.019856
Netherlands,GDP per hour worked,Total,2015=100,2004,92.289979
Türkiye,Exchange rates,Total,National currency units/US dollar,2012,1.796001
Netherlands,Employment rate,Women,Thousand persons,2002,3574.75
Netherlands,Employment rate,Men,Thousand persons,2002,4592.675
Netherlands,Gross domestic product (GDP),Total,Million US dollars,2002,556285.465
Netherlands,Employment rate,Men,% of working age population,2002,82.45
Netherlands,Employment rate,Total,Thousand persons,2006,7956.45
Netherlands,Gross domestic product (GDP),Total,US dollars/capita,2001,33190.35401
United Kingdom,Purchasing power parities (PPP),Total,National currency units/US dollar,2012,0.701634
Netherlands,Employment rate,Women,Thousand persons,2001,3494.925
Netherlands,Employment rate,Men,Thousand persons,2001,4572.975
Netherlands,Air pollution exposure,Exposure to PM2.5,% of population,2005,99.981
Netherlands,Average wages,Total,US dollars,2021,66221.4846
Netherlands,Employment rate,Total,Thousand persons,2007,8186.55
Netherlands,Average wages,Total,US dollars,2007,63276
Netherlands,Gross domestic product (GDP),Total,US dollars/capita,2009,44556.67382
United Kingdom,Exchange rates,Total,National currency units/US dollar,2012,0.633047
Netherlands,Employment rate,Women,Thousand persons,2009,3799.925
Netherlands,Employment rate,Men,Thousand persons,2009,4583.45
United States,Purchasing power parities (PPP),Total,National currency units/US dollar,2012,1
Netherlands,Employment rate,Women,Thousand persons,2010,3788.675
Netherlands,Employment rate,Men,Thousand persons,2010,4501
Netherlands,Trust in government,Total,Percentage,2010,63.6186314
Netherlands,Gross domestic product (GDP),Total,Million US dollars,2010,748292.706
Netherlands,Employment rate,Men,% of working age population,2010,80.725
Netherlands,GDP per hour worked,Total,US dollars,2012,66.176095
Netherlands,Employment rate,Women,% of working age population,2012,71.225
United States,Exchange rates,Total,National currency units/US dollar,2012,1
Netherlands,GDP per hour worked,Total,2015=100,2012,97.557434
Netherlands,Average wages,Total,US dollars,2008,63660
Netherlands,Gender wage gap,Self-employed,Percentage,2008,41.46989441
Netherlands,Gross domestic product (GDP),Total,US dollars/capita,2008,46419.04259
Netherlands,GDP per hour worked,Total,US dollars,2020,67.520762
Netherlands,Employment rate,Women,% of working age population,2020,75.7
Albania,Exchange rates,Total,National currency units/US dollar,2013,105.669167
Netherlands,GDP per hour worked,Total,2015=100,2020,99.539756
Netherlands,Gross domestic product (GDP),Total,Million US dollars,2011,777880.907
Netherlands,Employment rate,Men,% of working age population,2011,80.575
Netherlands,GDP per hour worked,Total,US dollars,2011,66.274742
Netherlands,Employment rate,Total,% of working age population,2011,75.7
Netherlands,Employment rate,Women,% of working age population,2011,70.75
Albania,Purchasing power parities (PPP),Total,National currency units/US dollar,2013,44.113485
Netherlands,Employment rate,Women,Thousand persons,2018,4093.3
Netherlands,Employment rate,Men,Thousand persons,2018,4703.65
Netherlands,Gross domestic product (GDP),Total,Million US dollars,2018,996447.288
Netherlands,Employment rate,Total,% of working age population,2018,78.7
Netherlands,Employment rate,Men,% of working age population,2018,82.825
Netherlands,Gross domestic product (GDP),Total,Million US dollars,2019,1059591.145
Netherlands,Employment rate,Total,% of working age population,2019,79.7
Netherlands,Employment rate,Men,% of working age population,2019,83.45
Netherlands,GDP per hour worked,Total,US dollars,2019,67.422659
Netherlands,Employment rate,Women,% of working age population,2019,75.875
Netherlands,Gross domestic product (GDP),Total,US dollars/capita,2017,55089.58143
Netherlands,Air pollution exposure,Exposure to PM2.5,% of population,2017,99.583
Argentina,Exchange rates,Total,National currency units/US dollar,2013,5.459353
Netherlands,Employment rate,Women,Thousand persons,2017,3987.35
Netherlands,Employment rate,Men,Thousand persons,2017,4617.175
Netherlands,Trust in government,Total,Percentage,2014,52.52422825
Netherlands,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2014,12.192
